"sourceIndex","originalName","storedName","sourceUrl","bytes","manifestSha256","actualSha256","disposition","canonicalStoredName","sideEffects"
"53","MDL_Final_Executive_Assessment_AR_d9d6881d.md","referenced-files/7af54c1186d7_MDL_Final_Executive_Assessment_AR_d9d6881d.md","https://comofollowup-ngbxwvy8.manus.space/manus-storage/MDL_Final_Executive_Assessment_AR_d9d6881d.md","20970","7af54c1186d7304e7d428d1de8eadbfd445a283b9cc8f5e983278098f53a5b6c","7af54c1186d7304e7d428d1de8eadbfd445a283b9cc8f5e983278098f53a5b6c","upload_unique_to_staging","referenced-files/7af54c1186d7_MDL_Final_Executive_Assessment_AR_d9d6881d.md","none"
"54","Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21_6bfe2f7d.pdf","referenced-files/85332cd5f6a6_Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21_6bfe2f7d.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21_6bfe2f7d.pdf","701030","85332cd5f6a6d07e6899d14505a4a1b9da9fbc87a5422da6bddd6826597d6e27","85332cd5f6a6d07e6899d14505a4a1b9da9fbc87a5422da6bddd6826597d6e27","reuse_source_duplicate","local-assets/chapman-taylor/Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21.pdf","none"
"55","Design_International_Majan_Proposal_Decision_Review_AR_2026-09-21_376bf098.pdf","referenced-files/8a15c3f25af9_Design_International_Majan_Proposal_Decision_Review_AR_2026-09-21_376bf098.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Design_International_Majan_Proposal_Decision_Review_AR_2026-09-21_376bf098.pdf","220905","8a15c3f25af9eb6aac165d3c02a6de4553b024b85e5233828164c1b86bf9f5ad","8a15c3f25af9eb6aac165d3c02a6de4553b024b85e5233828164c1b86bf9f5ad","upload_unique_to_staging","referenced-files/8a15c3f25af9_Design_International_Majan_Proposal_Decision_Review_AR_2026-09-21_376bf098.pdf","none"
"56","2220001-comprehensive-cbe15d7da1f2da15877752ae73281f47_59002744.pcm","referenced-files/9bb366dbdf2d_2220001-comprehensive-cbe15d7da1f2da15877752ae73281f47_59002744.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/2220001-comprehensive-cbe15d7da1f2da15877752ae73281f47_59002744.pcm","9805880","9bb366dbdf2d6bf352def1e31cd4fadf1d6a54415ba80faaa3989251a9023ac8","9bb366dbdf2d6bf352def1e31cd4fadf1d6a54415ba80faaa3989251a9023ac8","upload_unique_to_staging","referenced-files/9bb366dbdf2d_2220001-comprehensive-cbe15d7da1f2da15877752ae73281f47_59002744.pcm","none"
"57","Majan_Design_International_vs_Artec_Scope_Matrix_EN_483d1d17.xlsx","referenced-files/9daac834faab_Majan_Design_International_vs_Artec_Scope_Matrix_EN_483d1d17.xlsx","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Majan_Design_International_vs_Artec_Scope_Matrix_EN_483d1d17.xlsx","30782","9daac834faabb4173a423891c7b0ad2d2d0655a7948fd762e903dc825fcb3b31","9daac834faabb4173a423891c7b0ad2d2d0655a7948fd762e903dc825fcb3b31","upload_unique_to_staging","referenced-files/9daac834faab_Majan_Design_International_vs_Artec_Scope_Matrix_EN_483d1d17.xlsx","none"
"58","MDL_Meeting_Talking_Points_English_61d6a3f8.md","referenced-files/9de6da2f2425_MDL_Meeting_Talking_Points_English_61d6a3f8.md","https://comofollowup-ngbxwvy8.manus.space/manus-storage/MDL_Meeting_Talking_Points_English_61d6a3f8.md","11403","9de6da2f242540eb67a82a9b54422890d78aca1224d25797c5163277dfde443b","9de6da2f242540eb67a82a9b54422890d78aca1224d25797c5163277dfde443b","upload_unique_to_staging","referenced-files/9de6da2f2425_MDL_Meeting_Talking_Points_English_61d6a3f8.md","none"
"59","Majan_Lifestyle_Centre_Initial_Design_Brief_EN_Review_4e5e99f8.pdf","referenced-files/a07ed6c5d31b_Majan_Lifestyle_Centre_Initial_Design_Brief_EN_Review_4e5e99f8.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Majan_Lifestyle_Centre_Initial_Design_Brief_EN_Review_4e5e99f8.pdf","144093","a07ed6c5d31bced7738fb5ee01c98261489521c9a463322f04cabb7f1a1bd37f","a07ed6c5d31bced7738fb5ee01c98261489521c9a463322f04cabb7f1a1bd37f","upload_unique_to_staging","referenced-files/a07ed6c5d31b_Majan_Lifestyle_Centre_Initial_Design_Brief_EN_Review_4e5e99f8.pdf","none"
"60","COMO_MDL_Rev04_Comparison_AR_Corrected_b9f7e771.md","referenced-files/a2f74496fccc_COMO_MDL_Rev04_Comparison_AR_Corrected_b9f7e771.md","https://comofollowup-ngbxwvy8.manus.space/manus-storage/COMO_MDL_Rev04_Comparison_AR_Corrected_b9f7e771.md","18500","a2f74496fccc03ea42987136295bfa4fbe158123bc84c8cb0450de4197237b11","a2f74496fccc03ea42987136295bfa4fbe158123bc84c8cb0450de4197237b11","reuse_source_duplicate","local-assets/COMO_MDL_Rev04_Comparison_AR_Corrected.md","none"
"61","Khatib_Alami_Majan_Independent_Proposal_Analysis_2026-09-22_81512f96.pdf","referenced-files/a6df1a8c8bbe_Khatib_Alami_Majan_Independent_Proposal_Analysis_2026-09-22_81512f96.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Khatib_Alami_Majan_Independent_Proposal_Analysis_2026-09-22_81512f96.pdf","114869","a6df1a8c8bbe1bda47e9e448bfe0b4e4f2fd3a10fc27d248947911c119902b34","a6df1a8c8bbe1bda47e9e448bfe0b4e4f2fd3a10fc27d248947911c119902b34","upload_unique_to_staging","referenced-files/a6df1a8c8bbe_Khatib_Alami_Majan_Independent_Proposal_Analysis_2026-09-22_81512f96.pdf","none"
"62","3540001-comprehensive-5c39d1b3f11cdd073a8737a0e18d572d_06b18ded.pcm","referenced-files/a82d4b674d38_3540001-comprehensive-5c39d1b3f11cdd073a8737a0e18d572d_06b18ded.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/3540001-comprehensive-5c39d1b3f11cdd073a8737a0e18d572d_06b18ded.pcm","13372464","a82d4b674d38ca29e5a38fa34be2b0c6902d856c597d1b72e2ddbaafc5ccde2c","a82d4b674d38ca29e5a38fa34be2b0c6902d856c597d1b72e2ddbaafc5ccde2c","upload_unique_to_staging","referenced-files/a82d4b674d38_3540001-comprehensive-5c39d1b3f11cdd073a8737a0e18d572d_06b18ded.pcm","none"
